<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
12,12,2014-11-19,27-009,DET,,PHO,L (-2),0,22:24,2,5,.400,0,0,,2,2,1.000,0,1,1,2,2,0,2,0,6,5.0,-5
13,13,2014-11-21,27-011,DET,@,ATL,L (-10),0,24:47,4,17,.235,1,6,.167,5,5,1.000,1,4,5,1,0,0,1,2,14,4.5,+1
14,14,2014-11-25,27-015,DET,@,MIL,L (-12),1,37:13,4,11,.364,1,1,1.000,2,2,1.000,0,2,2,7,1,0,5,3,11,5.2,-10
15,15,2014-11-26,27-016,DET,,LAC,L (-6),1,35:16,7,14,.500,2,8,.250,3,3,1.000,0,3,3,6,0,0,3,2,19,13.3,0
16,16,2014-11-28,27-018,DET,,MIL,L (-16),1,33:58,1,7,.143,1,4,.250,7,9,.778,0,0,0,6,0,0,2,0,10,6.9,-2
17,17,2014-11-30,27-020,DET,,GSW,L (-11),0,12:51,2,4,.500,1,1,1.000,0,0,,0,0,0,1,0,0,3,3,5,-0.5,-13
18,18,2014-12-02,27-022,DET,,LAL,L (-10),0,23:39,4,7,.571,1,2,.500,4,6,.667,1,0,1,5,0,0,0,1,13,12.7,+9
19,19,2014-12-03,27-023,DET,@,BOS,L (-7),0,14:14,0,6,.000,0,1,.000,1,2,.500,1,2,3,3,0,0,1,0,1,-1.2,-13
20,20,2014-12-06,27-026,DET,,PHI,L (-7),0,18:13,1,7,.143,0,4,.000,4,5,.800,0,1,1,3,1,0,0,2,6,3.7,-1
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-07,27-027,DET,,OKC,L (-2),0,19:01,2,3,.667,1,2,.500,2,2,1.000,0,3,3,1,0,0,0,0,7,7.3,-6
22,22,2014-12-09,27-029,DET,,POR,L (-12),0,27:19,2,8,.250,1,3,.333,0,0,,0,2,2,6,0,0,0,0,5,5.0,+3
23,23,2014-12-12,27-032,DET,@,PHO,W (+2),0,24:00,4,5,.800,0,1,.000,3,4,.750,0,1,1,6,2,0,2,2,11,12.4,+6
24,24,2014-12-13,27-033,DET,@,SAC,W (+5),0,24:00,2,10,.200,0,2,.000,4,4,1.000,1,2,3,6,0,0,1,1,8,5.9,-4
25,25,2014-12-15,27-035,DET,@,LAC,L (-22),0,16:42,0,1,.000,0,1,.000,0,0,,1,2,3,4,0,0,3,0,0,0.4,-5
26,26,2014-12-17,27-037,DET,,DAL,L (-11),0,24:00,4,7,.571,2,3,.667,0,0,,0,0,0,2,1,0,2,2,10,6.3,-1
