<!-- ALREADYCSV -->
66,,2015-03-17,19-205,CHO,,LAC,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,,2015-03-20,19-208,CHO,,SAC,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,2015-03-22,19-210,CHO,,MIN,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,16,2015-03-23,19-211,CHO,@,CHI,L (-12),0,1:22,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+2
70,,2015-03-25,19-213,CHO,,BRK,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,,2015-03-27,19-215,CHO,,WAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,,2015-03-28,19-216,CHO,,ATL,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,,2015-03-30,19-218,CHO,,BOS,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,17,2015-04-01,19-220,CHO,,DET,W (+24),0,2:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
75,18,2015-04-03,19-222,CHO,@,IND,L (-19),0,12:00,2,2,1.000,0,0,,0,0,,0,3,3,0,0,0,0,0,4,4.3,+4
76,19,2015-04-04,19-223,CHO,,PHI,W (+1),0,14:12,3,6,.500,0,0,,0,0,,3,3,6,1,1,0,0,3,6,6.5,-4
77,20,2015-04-07,19-226,CHO,@,MIA,L (-5),0,2:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-5
78,21,2015-04-08,19-227,CHO,,TOR,L (-18),0,23:26,1,7,.143,1,1,1.000,0,0,,2,4,6,0,0,1,0,1,3,1.4,0
79,22,2015-04-10,19-229,CHO,@,ATL,L (-24),0,21:07,2,5,.400,0,1,.000,0,0,,2,4,6,1,0,0,0,1,4,4.2,-8
80,23,2015-04-12,19-231,CHO,@,DET,L (-39),0,28:49,6,11,.545,1,2,.500,3,6,.500,4,8,12,0,1,0,2,2,16,12.9,-23
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,24,2015-04-13,19-232,CHO,,HOU,L (-10),0,22:23,1,8,.125,1,2,.500,1,2,.500,0,7,7,0,0,0,2,3,4,-2.7,-10
82,25,2015-04-15,19-234,CHO,@,TOR,L (-5),0,23:18,3,7,.429,1,2,.500,2,2,1.000,4,8,12,0,0,2,2,0,9,9.9,+10
