Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
10,10,2014-11-17,23-089,SAS,,PHI,W (+25),0,26:20,3,8,.375,1,4,.250,7,9,.778,1,4,5,2,1,0,1,0,14,12.1,0,josepco01
11,11,2014-11-19,23-091,SAS,@,CLE,W (+2),0,17:42,4,5,.800,1,1,1.000,1,2,.500,2,1,3,3,0,0,0,2,10,10.7,+4,josepco01
12,12,2014-11-21,23-093,SAS,@,MIN,W (+29),0,6:59,0,1,.000,0,0,,0,0,,0,2,2,3,0,0,1,2,0,0.2,-3,josepco01
15,13,2014-11-28,23-100,SAS,,SAC,W (+8),0,9:51,1,3,.333,0,1,.000,1,2,.500,1,1,2,1,0,0,0,2,3,1.8,+3,josepco01
16,14,2014-11-30,23-102,SAS,@,BOS,W (+22),0,16:43,3,7,.429,0,1,.000,2,3,.667,1,2,3,4,1,0,1,1,8,7.6,+7,josepco01
17,15,2014-12-01,23-103,SAS,@,PHI,W (+6),1,33:55,4,10,.400,0,1,.000,6,8,.750,1,7,8,6,0,0,3,3,14,10.6,-6,josepco01
18,16,2014-12-03,23-105,SAS,@,BRK,L (-2),0,23:47,3,8,.375,0,0,,1,2,.500,1,2,3,3,0,0,0,3,7,4.4,+19,josepco01
19,17,2014-12-05,23-107,SAS,@,MEM,W (+6),0,23:24,5,8,.625,0,1,.000,2,2,1.000,1,2,3,0,1,0,1,3,12,8.5,+5,josepco01
20,18,2014-12-06,23-108,SAS,,MIN,W (+22),1,32:42,7,10,.700,0,0,,4,4,1.000,1,3,4,5,1,0,0,0,18,19.9,+19,josepco01
21,19,2014-12-09,23-111,SAS,@,UTA,L (-4),1,29:45,3,6,.500,0,0,,1,2,.500,0,0,0,0,0,2,0,1,7,4.6,-11,josepco01
22,20,2014-12-10,23-112,SAS,,NYK,W (+14),1,35:23,4,9,.444,0,0,,1,2,.500,1,4,5,6,0,0,1,1,9,8.6,+9,josepco01
23,21,2014-12-12,23-114,SAS,,LAL,L (-2),0,35:27,7,14,.500,1,1,1.000,1,3,.333,1,3,4,5,4,1,2,2,16,15.2,+5,josepco01
24,22,2014-12-14,23-116,SAS,@,DEN,W (+8),1,32:00,6,7,.857,1,1,1.000,0,0,,1,1,2,3,0,1,1,3,13,12.1,+5,josepco01
25,23,2014-12-15,23-117,SAS,@,POR,L (-13),1,37:24,5,10,.500,1,1,1.000,1,2,.500,2,3,5,1,1,0,3,3,12,6.4,-2,josepco01
26,24,2014-12-17,23-119,SAS,,MEM,L (-1),1,37:56,4,10,.400,0,1,.000,0,0,,2,4,6,5,1,0,1,1,8,8.3,-15,josepco01
27,25,2014-12-19,23-121,SAS,,POR,L (-10),1,43:21,4,10,.400,0,0,,2,2,1.000,1,7,8,7,0,0,1,2,10,10.5,+3,josepco01
28,26,2014-12-20,23-122,SAS,@,DAL,L (-6),1,41:11,5,15,.333,0,2,.000,4,4,1.000,1,5,6,2,2,0,1,1,14,9.7,-10,josepco01
29,27,2014-12-22,23-124,SAS,,LAC,W (+7),0,17:31,1,1,1.000,1,1,1.000,0,0,,0,1,1,3,1,1,0,1,3,6.4,+23,josepco01
30,28,2014-12-25,23-127,SAS,,OKC,L (-8),0,29:35,5,7,.714,0,0,,4,4,1.000,1,3,4,5,2,0,3,2,14,14.4,+10,josepco01
31,29,2014-12-26,23-128,SAS,@,NOP,L (-7),1,38:20,8,9,.889,1,1,1.000,3,4,.750,0,3,3,5,0,1,3,2,20,17.8,+2,josepco01
32,30,2014-12-28,23-130,SAS,,HOU,W (+4),1,34:32,6,9,.667,1,1,1.000,1,1,1.000,3,3,6,4,1,0,3,3,14,12.7,+4,josepco01
33,31,2014-12-30,23-132,SAS,@,MEM,L (-8),1,31:09,9,13,.692,0,1,.000,0,1,.000,3,0,3,3,3,0,4,3,18,14.1,-7,josepco01
34,32,2014-12-31,23-133,SAS,,NOP,W (+2),1,24:24,4,9,.444,0,0,,1,2,.500,2,1,3,0,0,0,2,1,9,3.2,-11,josepco01
35,33,2015-01-03,23-136,SAS,,WAS,W (+9),1,32:41,8,10,.800,0,0,,3,4,.750,1,3,4,4,0,2,0,2,19,19.8,+12,josepco01
36,34,2015-01-06,23-139,SAS,,DET,L (-1),0,26:54,3,4,.750,0,0,,1,2,.500,0,4,4,4,0,1,1,1,7,8.3,-3,josepco01
37,35,2015-01-09,23-142,SAS,,PHO,W (+5),0,23:54,4,8,.500,0,1,.000,3,6,.500,0,3,3,5,1,0,1,1,11,9.8,+12,josepco01
38,36,2015-01-10,23-143,SAS,@,MIN,W (+15),0,27:12,5,8,.625,0,0,,2,2,1.000,0,2,2,5,3,0,1,0,12,14.5,+6,josepco01
39,37,2015-01-13,23-146,SAS,@,WAS,L (-8),0,23:44,2,5,.400,0,0,,2,2,1.000,1,1,2,5,0,1,0,3,6,7.3,+2,josepco01
40,38,2015-01-14,23-147,SAS,@,CHO,W (+5),0,29:51,1,9,.111,0,2,.000,2,2,1.000,0,2,2,5,1,1,0,4,4,2.3,0,josepco01
41,39,2015-01-16,23-149,SAS,,POR,W (+14),0,5:28,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-9,josepco01
42,40,2015-01-18,23-151,SAS,,UTA,W (+20),0,19:09,1,6,.167,0,0,,2,2,1.000,0,1,1,4,0,0,1,2,4,1.5,+4,josepco01
43,41,2015-01-20,23-153,SAS,@,DEN,W (+10),0,12:03,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,2,1,2,0.6,+3,josepco01
44,42,2015-01-22,23-155,SAS,@,CHI,L (-23),0,13:55,4,7,.571,0,0,,3,5,.600,0,2,2,2,0,0,0,1,11,8.5,+1,josepco01
45,43,2015-01-23,23-156,SAS,,LAL,W (+14),0,18:07,2,4,.500,1,1,1.000,4,5,.800,1,0,1,3,0,0,0,2,9,8.6,+2,josepco01
46,44,2015-01-25,23-158,SAS,,MIL,W (+6),0,16:16,0,2,.000,0,1,.000,0,0,,2,2,4,0,0,0,0,0,0,0.6,+18,josepco01
47,45,2015-01-28,23-161,SAS,,CHO,W (+9),0,18:22,0,2,.000,0,0,,2,2,1.000,1,2,3,1,0,0,1,2,2,0.8,+9,josepco01
48,46,2015-01-31,23-164,SAS,,LAC,L (-20),0,9:19,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,2,1.6,-3,josepco01
49,47,2015-02-04,23-168,SAS,,ORL,W (+7),0,15:33,2,5,.400,0,0,,0,0,,0,2,2,3,0,0,0,0,4,4.0,+5,josepco01
50,48,2015-02-06,23-170,SAS,,MIA,W (+13),0,3:02,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-5,josepco01
51,49,2015-02-08,23-172,SAS,@,TOR,L (-5),0,11:07,2,2,1.000,0,0,,0,0,,0,1,1,1,1,0,2,1,4,3.0,+19,josepco01
52,50,2015-02-09,23-173,SAS,@,IND,W (+2),0,5:50,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.7,+6,josepco01
53,51,2015-02-11,23-175,SAS,@,DET,W (+17),0,9:22,0,1,.000,0,0,,0,0,,0,1,1,2,0,1,1,2,0,-0.1,-4,josepco01
55,52,2015-02-20,23-184,SAS,@,GSW,L (-11),0,12:00,2,5,.400,1,1,1.000,3,4,.750,0,0,0,3,0,1,0,0,8,7.7,+10,josepco01
56,53,2015-02-23,23-187,SAS,@,UTA,L (-9),0,21:21,3,6,.500,0,0,,4,5,.800,0,4,4,3,0,0,3,1,10,6.5,+4,josepco01
57,54,2015-02-25,23-189,SAS,@,POR,L (-16),0,11:45,0,1,.000,0,0,,2,2,1.000,0,2,2,1,1,1,0,0,2,4.3,-5,josepco01
58,55,2015-02-27,23-191,SAS,@,SAC,W (+11),0,12:17,0,1,.000,0,0,,2,2,1.000,0,0,0,0,1,0,0,2,2,1.5,-6,josepco01
59,56,2015-02-28,23-192,SAS,@,PHO,W (+27),0,10:19,2,5,.400,0,0,,1,1,1.000,0,0,0,3,1,0,2,3,5,2.2,-11,josepco01
60,57,2015-03-04,23-196,SAS,,SAC,W (+27),0,10:16,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,1,0,2,0.0,-2,josepco01
