Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
19,19,2014-12-03,22-197,UTA,,TOR,L (-19),1,33:33,9,15,.600,0,0,,1,2,.500,4,5,9,1,1,1,1,2,19,16.6,-8,kanteen01
20,20,2014-12-05,22-199,UTA,,ORL,L (-5),1,27:34,7,12,.583,0,0,,2,2,1.000,4,1,5,0,0,0,2,1,16,11.1,-16,kanteen01
21,21,2014-12-08,22-202,UTA,@,SAC,L (-9),1,31:56,5,11,.455,1,2,.500,2,2,1.000,1,5,6,1,0,2,3,6,13,6.2,-14,kanteen01
22,22,2014-12-09,22-203,UTA,,SAS,W (+4),1,30:48,6,9,.667,0,0,,0,0,,4,11,15,0,0,1,2,2,12,12.1,+13,kanteen01
23,23,2014-12-12,22-206,UTA,,MIA,L (-5),1,36:44,10,17,.588,1,3,.333,4,4,1.000,0,8,8,0,0,0,1,2,25,17.7,-14,kanteen01
24,24,2014-12-14,22-208,UTA,@,WAS,L (-9),1,33:43,5,14,.357,0,0,,0,0,,5,6,11,2,0,1,4,4,10,4.0,-1,kanteen01
25,25,2014-12-16,22-210,UTA,@,NOP,L (-8),1,36:32,12,22,.545,0,0,,5,6,.833,6,1,7,1,2,1,2,3,29,22.7,-16,kanteen01
26,26,2014-12-17,22-211,UTA,@,MIA,W (+18),1,30:48,7,12,.583,1,2,.500,3,4,.750,2,4,6,1,1,0,3,4,18,11.7,+10,kanteen01
27,27,2014-12-19,22-213,UTA,@,ORL,W (+7),1,30:54,5,10,.500,0,1,.000,1,2,.500,3,4,7,1,0,0,3,2,11,5.8,-9,kanteen01
28,28,2014-12-20,22-214,UTA,@,CHO,L (-18),1,19:57,2,8,.250,0,0,,0,0,,2,2,4,2,0,0,1,2,4,0.8,+3,kanteen01
29,29,2014-12-22,22-216,UTA,@,MEM,W (+6),1,30:25,6,11,.545,1,1,1.000,0,0,,1,8,9,0,0,1,2,2,13,8.7,+6,kanteen01
30,30,2014-12-27,22-221,UTA,,PHI,W (+17),1,24:37,4,13,.308,0,1,.000,2,2,1.000,6,4,10,0,0,0,0,2,10,7.1,+1,kanteen01
31,31,2014-12-29,22-223,UTA,@,LAC,L (-4),1,28:08,8,17,.471,0,1,.000,0,0,,4,1,5,0,0,0,2,3,16,7.2,+9,kanteen01
32,32,2014-12-30,22-224,UTA,,MIN,W (+6),1,24:41,4,8,.500,0,0,,6,6,1.000,4,8,12,0,1,0,2,1,14,13.8,+8,kanteen01
33,33,2015-01-02,22-227,UTA,,ATL,L (-6),1,22:03,5,12,.417,0,0,,1,1,1.000,3,3,6,0,0,0,2,1,11,5.2,-15,kanteen01
38,34,2015-01-10,22-235,UTA,@,HOU,L (-15),0,20:59,6,10,.600,0,0,,4,5,.800,4,2,6,1,1,0,2,3,16,12.9,-9,kanteen01
39,35,2015-01-13,22-238,UTA,,GSW,L (-11),1,31:40,6,13,.462,1,1,1.000,0,0,,5,5,10,0,1,0,3,4,13,7.7,-27,kanteen01
40,36,2015-01-16,22-241,UTA,,LAL,W (+9),1,25:35,2,10,.200,1,3,.333,2,2,1.000,3,2,5,0,3,0,1,1,7,5.1,-3,kanteen01
41,37,2015-01-18,22-243,UTA,@,SAS,L (-20),1,20:46,2,6,.333,0,0,,0,0,,1,1,2,0,0,1,1,2,4,0.5,-10,kanteen01
42,38,2015-01-21,22-246,UTA,@,CLE,L (-14),1,33:08,9,20,.450,0,0,,6,8,.750,7,10,17,1,1,0,1,2,24,20.6,-3,kanteen01
43,39,2015-01-22,22-247,UTA,@,MIL,W (+2),1,36:04,8,15,.533,1,2,.500,6,6,1.000,3,13,16,0,2,1,2,1,23,22.0,+6,kanteen01
44,40,2015-01-24,22-249,UTA,,BRK,W (+35),1,28:18,5,12,.417,0,0,,0,0,,2,2,4,0,1,0,2,0,10,4.6,+25,kanteen01
45,41,2015-01-26,22-251,UTA,,BOS,L (-9),1,31:02,10,16,.625,0,1,.000,0,0,,3,3,6,0,0,0,4,6,20,9.4,+3,kanteen01
