Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
40,31,2015-01-17,33-185,MEM,,POR,W (+4),1,37:45,6,13,.462,0,0,,8,10,.800,3,12,15,2,0,0,5,4,20,13.0,-1,randoza01
41,32,2015-01-19,33-187,MEM,,DAL,L (-8),1,40:09,8,13,.615,0,0,,2,2,1.000,4,11,15,2,1,0,4,1,18,16.2,-8,randoza01
42,33,2015-01-21,33-189,MEM,,TOR,W (+6),1,36:25,8,14,.571,0,0,,3,6,.500,3,10,13,0,0,2,2,3,19,14.5,+4,randoza01
43,34,2015-01-24,33-192,MEM,,PHI,W (+18),1,27:15,8,11,.727,1,1,1.000,0,0,,2,12,14,4,0,0,3,2,17,16.5,+13,randoza01
44,35,2015-01-26,33-194,MEM,,ORL,W (+9),1,33:39,8,13,.615,0,2,.000,8,8,1.000,3,7,10,6,1,1,3,3,24,24.0,+6,randoza01
45,36,2015-01-27,33-195,MEM,@,DAL,W (+19),1,33:38,10,15,.667,0,0,,2,4,.500,2,8,10,2,0,0,5,3,22,13.7,+14,randoza01
46,37,2015-01-29,33-197,MEM,,DEN,W (+30),1,30:20,6,14,.429,0,0,,3,4,.750,5,12,17,2,1,0,1,2,15,14.9,+22,randoza01
47,38,2015-01-31,33-199,MEM,,OKC,W (+11),1,36:40,8,20,.400,0,0,,5,6,.833,10,8,18,3,0,1,3,4,21,17.4,+13,randoza01
48,39,2015-02-02,33-201,MEM,@,PHO,W (+1),1,31:52,6,15,.400,0,0,,7,8,.875,3,6,9,1,1,0,2,2,19,13.3,+7,randoza01
49,40,2015-02-04,33-203,MEM,@,UTA,W (+10),1,33:28,6,14,.429,1,1,1.000,5,6,.833,4,7,11,4,0,0,1,3,18,15.7,+6,randoza01
50,41,2015-02-06,33-205,MEM,@,MIN,L (-1),1,29:19,3,7,.429,0,1,.000,0,0,,0,10,10,0,2,1,5,2,6,2.2,-10,randoza01
51,42,2015-02-08,33-207,MEM,,ATL,W (+6),1,33:09,5,16,.313,0,0,,1,2,.500,5,10,15,2,2,0,1,2,11,9.5,+5,randoza01
52,43,2015-02-10,33-209,MEM,,BRK,W (+9),1,34:26,9,17,.529,1,1,1.000,0,0,,1,7,8,1,3,0,1,2,19,15.4,+14,randoza01
53,44,2015-02-11,33-210,MEM,@,OKC,L (-16),1,29:43,5,15,.333,0,0,,6,6,1.000,6,5,11,4,1,0,3,3,16,12.8,-23,randoza01
54,45,2015-02-22,33-221,MEM,@,POR,W (+6),1,37:17,7,18,.389,0,1,.000,1,3,.333,2,7,9,4,2,0,2,1,15,10.3,+7,randoza01
55,46,2015-02-23,33-222,MEM,@,LAC,W (+3),1,31:51,2,12,.167,0,0,,3,6,.500,1,9,10,2,0,1,0,3,7,2.5,+3,randoza01
56,47,2015-02-25,33-224,MEM,@,SAC,L (-12),1,30:25,7,10,.700,1,1,1.000,5,6,.833,0,5,5,1,0,0,3,4,20,13.0,-3,randoza01
57,48,2015-02-27,33-226,MEM,,LAC,L (-18),1,36:09,10,18,.556,0,0,,0,0,,2,8,10,1,1,0,2,2,20,14.1,-22,randoza01
58,49,2015-02-28,33-227,MEM,@,MIN,W (+4),1,33:19,3,7,.429,0,1,.000,1,1,1.000,1,10,11,0,0,1,7,3,7,-0.5,+9,randoza01
60,50,2015-03-04,33-231,MEM,@,HOU,W (+2),1,33:00,7,12,.583,0,0,,1,1,1.000,2,6,8,6,3,1,1,1,15,19.1,-2,randoza01
61,51,2015-03-06,33-233,MEM,,LAL,W (+7),1,37:03,10,16,.625,0,1,.000,4,4,1.000,3,10,13,3,1,0,3,3,24,20.8,+5,randoza01
62,52,2015-03-07,33-234,MEM,@,NOP,L (-6),1,29:15,3,10,.300,0,1,.000,1,4,.250,0,2,2,3,3,0,3,2,7,1.9,-11,randoza01
63,53,2015-03-09,33-236,MEM,@,CHI,W (+10),1,30:13,7,12,.583,0,1,.000,2,3,.667,2,7,9,1,0,0,1,4,16,11.6,+21,randoza01
64,54,2015-03-11,33-238,MEM,@,BOS,L (-3),1,33:38,4,9,.444,0,0,,6,6,1.000,1,7,8,5,0,0,3,3,14,11.4,+4,randoza01
66,55,2015-03-14,33-241,MEM,,MIL,W (+13),1,34:22,4,10,.400,0,0,,7,8,.875,2,4,6,4,2,1,5,3,15,11.1,+12,randoza01
67,56,2015-03-16,33-243,MEM,,DEN,W (+11),1,38:39,9,20,.450,0,1,.000,3,4,.750,8,8,16,2,2,0,2,3,21,18.4,+16,randoza01
68,57,2015-03-17,33-244,MEM,@,DET,L (-10),1,34:45,6,13,.462,0,0,,1,1,1.000,1,4,5,4,2,0,2,2,13,10.2,-7,randoza01
69,58,2015-03-20,33-247,MEM,@,DAL,W (+11),1,33:41,8,13,.615,0,0,,5,6,.833,0,4,4,5,0,0,2,3,21,16.2,+14,randoza01
70,59,2015-03-21,33-248,MEM,,POR,W (+11),1,30:40,8,20,.400,1,1,1.000,0,0,,3,1,4,3,0,0,1,3,17,8.5,+24,randoza01
71,60,2015-03-23,33-250,MEM,@,NYK,W (+21),1,34:30,9,12,.750,0,0,,5,6,.833,3,4,7,5,0,0,2,4,23,21.0,+29,randoza01
72,61,2015-03-25,33-252,MEM,,CLE,L (-22),1,20:29,2,8,.250,0,1,.000,1,2,.500,0,3,3,1,0,0,0,0,5,1.4,-10,randoza01
73,62,2015-03-27,33-254,MEM,,GSW,L (-23),1,26:59,4,10,.400,0,0,,2,2,1.000,1,2,3,3,1,0,3,1,10,5.6,-23,randoza01
74,63,2015-03-29,33-256,MEM,@,SAS,L (-14),1,33:13,9,16,.563,0,0,,2,3,.667,2,11,13,0,0,0,1,2,20,14.9,-12,randoza01
75,64,2015-03-30,33-257,MEM,,SAC,W (+14),1,29:30,5,12,.417,0,1,.000,5,6,.833,2,5,7,3,1,0,3,4,15,9.6,+13,randoza01
76,65,2015-04-03,33-261,MEM,,OKC,W (+8),1,30:08,6,11,.545,1,2,.500,1,2,.500,2,5,7,2,1,1,3,3,14,10.1,-6,randoza01
77,66,2015-04-04,33-262,MEM,,WAS,L (-9),1,31:32,3,5,.600,0,0,,0,0,,1,9,10,1,0,0,3,2,6,4.0,-10,randoza01
78,67,2015-04-08,33-266,MEM,,NOP,W (+36),1,29:43,6,13,.462,0,1,.000,3,3,1.000,5,8,13,6,2,0,0,2,15,19.6,+17,randoza01
79,68,2015-04-10,33-268,MEM,@,UTA,W (+1),1,38:03,5,13,.385,0,0,,4,6,.667,2,8,10,2,2,0,2,3,14,10.1,+4,randoza01
80,69,2015-04-11,33-269,MEM,@,LAC,L (-8),1,38:34,8,19,.421,0,0,,5,6,.833,4,9,13,5,3,0,4,4,21,16.9,-6,randoza01
81,70,2015-04-13,33-271,MEM,@,GSW,L (-4),1,21:01,3,7,.429,0,0,,4,4,1.000,4,1,5,4,1,0,2,1,10,10.8,-31,randoza01
82,71,2015-04-15,33-273,MEM,,IND,W (+12),1,35:19,7,12,.583,0,0,,4,4,1.000,1,8,9,0,0,0,3,3,18,11.3,+1,randoza01
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-30,30-128,LAC,,OKC,W (+3),1,29:34,1,10,.100,1,7,.143,2,2,1.000,0,0,0,0,0,0,2,2,5,-4.4,-7,redicjj01
2,2,2014-10-31,30-129,LAC,@,LAL,W (+7),1,33:24,3,9,.333,1,6,.167,8,8,1.000,0,3,3,3,2,0,1,1,15,13.5,+11,redicjj01
3,3,2014-11-02,30-131,LAC,,SAC,L (-6),1,32:32,4,14,.286,2,10,.200,2,2,1.000,0,2,2,1,1,0,1,1,12,4.7,-6,redicjj01
4,4,2014-11-03,30-132,LAC,,UTA,W (+6),1,15:08,2,6,.333,2,5,.400,1,2,.500,0,3,3,2,0,0,2,1,7,3.1,-6,redicjj01
5,5,2014-11-05,30-134,LAC,@,GSW,L (-17),1,23:29,3,6,.500,1,2,.500,5,5,1.000,0,1,1,0,0,0,2,1,12,6.9,-20,redicjj01
6,6,2014-11-08,30-137,LAC,,POR,W (+4),1,37:24,11,13,.846,2,3,.667,6,8,.750,0,4,4,1,1,0,1,2,30,25.6,+3,redicjj01
7,7,2014-11-10,30-139,LAC,,SAS,L (-4),1,36:00,4,10,.400,2,6,.333,3,3,1.000,1,1,2,4,0,0,2,0,13,9.4,-2,redicjj01
8,8,2014-11-15,30-144,LAC,,PHO,W (+13),1,34:24,3,8,.375,2,4,.500,6,7,.857,0,2,2,3,0,0,2,3,14,8.7,+7,redicjj01
9,9,2014-11-17,30-146,LAC,,CHI,L (-16),1,23:41,2,10,.200,1,3,.333,0,0,,0,0,0,1,0,1,0,1,5,-0.2,-8,redicjj01
10,10,2014-11-19,30-148,LAC,@,ORL,W (+24),1,21:03,1,6,.167,1,2,.500,0,0,,0,0,0,1,0,0,1,1,3,-1.5,+8,redicjj01
11,11,2014-11-20,30-149,LAC,@,MIA,W (+17),1,23:24,5,11,.455,4,8,.500,0,0,,1,1,2,2,0,0,1,3,14,8.5,+18,redicjj01
12,12,2014-11-23,30-152,LAC,@,MEM,L (-16),1,26:10,5,10,.500,3,6,.500,2,2,1.000,0,1,1,1,0,0,0,2,15,10.2,-11,redicjj01
13,13,2014-11-24,30-153,LAC,@,CHO,W (+21),1,35:05,5,12,.417,4,9,.444,3,3,1.000,0,1,1,1,0,0,0,4,17,10.0,+32,redicjj01
14,14,2014-11-26,30-155,LAC,@,DET,W (+6),1,25:20,3,6,.500,1,3,.333,3,4,.750,0,4,4,0,0,0,3,2,10,4.0,0,redicjj01
15,15,2014-11-28,30-157,LAC,@,HOU,W (+17),1,24:01,6,13,.462,3,9,.333,0,0,,0,0,0,1,0,0,4,0,15,5.0,+12,redicjj01
16,16,2014-11-29,30-158,LAC,@,UTA,W (+16),1,31:22,4,9,.444,1,5,.200,4,5,.800,0,3,3,3,1,0,0,4,13,10.3,+25,redicjj01
17,17,2014-12-01,30-160,LAC,,MIN,W (+26),1,22:48,7,11,.636,4,5,.800,5,6,.833,0,1,1,2,0,0,1,2,23,17.6,+28,redicjj01
18,18,2014-12-03,30-162,LAC,,ORL,W (+28),1,28:12,7,11,.636,4,7,.571,2,2,1.000,0,0,0,0,0,1,0,3,20,14.6,+26,redicjj01
19,19,2014-12-06,30-165,LAC,,NOP,W (+20),1,36:07,8,14,.571,5,9,.556,0,0,,0,0,0,3,2,0,1,2,21,16.7,+27,redicjj01
20,20,2014-12-08,30-167,LAC,,PHO,W (+1),1,43:00,5,13,.385,2,7,.286,5,6,.833,0,4,4,3,1,0,1,1,17,12.4,+2,redicjj01
21,21,2014-12-10,30-169,LAC,@,IND,W (+7),1,31:29,7,11,.636,2,5,.400,0,0,,0,1,1,1,0,0,0,1,16,11.7,+21,redicjj01
22,22,2014-12-12,30-171,LAC,@,WAS,L (-8),1,31:14,4,9,.444,1,2,.500,1,1,1.000,0,4,4,2,1,0,0,0,10,8.9,-10,redicjj01
23,23,2014-12-13,30-172,LAC,@,MIL,L (-5),1,35:00,6,14,.429,5,7,.714,8,8,1.000,1,4,5,3,1,0,2,3,25,19.4,+3,redicjj01
24,24,2014-12-15,30-174,LAC,,DET,W (+22),1,18:35,7,9,.778,0,1,.000,0,1,.000,0,0,0,0,1,0,1,4,14,8.5,+1,redicjj01
25,25,2014-12-17,30-176,LAC,,IND,W (+2),1,33:47,4,10,.400,3,8,.375,5,7,.714,0,0,0,2,0,0,1,1,16,9.8,+19,redicjj01
26,26,2014-12-19,30-178,LAC,@,DEN,L (-3),1,25:09,2,8,.250,1,5,.200,3,3,1.000,0,2,2,2,0,0,2,1,8,2.8,+13,redicjj01
27,27,2014-12-20,30-179,LAC,,MIL,W (+4),1,34:13,9,15,.600,5,8,.625,0,0,,0,3,3,2,1,0,1,2,23,17.6,+8,redicjj01
28,28,2014-12-22,30-181,LAC,@,SAS,L (-7),1,34:42,6,13,.462,5,8,.625,4,6,.667,1,0,1,1,0,0,1,4,21,12.3,-9,redicjj01
29,29,2014-12-23,30-182,LAC,@,ATL,L (-3),1,34:21,6,11,.545,3,6,.500,3,5,.600,0,1,1,0,0,0,1,2,18,10.4,+8,redicjj01
30,30,2014-12-25,30-184,LAC,,GSW,W (+14),1,27:33,3,9,.333,3,7,.429,2,2,1.000,0,1,1,3,0,0,1,1,11,6.9,0,redicjj01
31,31,2014-12-27,30-186,LAC,,TOR,L (-12),1,35:26,9,16,.563,5,9,.556,0,1,.000,0,1,1,3,0,1,2,1,23,15.7,-16,redicjj01
32,32,2014-12-29,30-188,LAC,,UTA,W (+4),1,29:47,6,13,.462,1,6,.167,4,4,1.000,0,1,1,3,0,0,1,2,17,10.9,-4,redicjj01
33,33,2014-12-31,30-190,LAC,,NYK,W (+21),1,31:44,7,13,.538,4,8,.500,2,3,.667,0,4,4,1,0,0,2,1,20,12.8,+20,redicjj01
34,34,2015-01-03,30-193,LAC,,PHI,W (+36),1,27:08,7,12,.583,3,7,.429,0,0,,0,1,1,1,0,0,0,2,17,11.6,+9,redicjj01
35,35,2015-01-05,30-195,LAC,,ATL,L (-9),1,35:13,5,9,.556,1,4,.250,3,3,1.000,0,0,0,0,2,0,5,2,14,5.9,-11,redicjj01
36,36,2015-01-07,30-197,LAC,,LAL,W (+25),1,26:49,3,8,.375,1,4,.250,3,3,1.000,2,2,4,2,0,0,0,0,10,9.0,+33,redicjj01
37,37,2015-01-10,30-200,LAC,,DAL,W (+20),1,28:06,5,13,.385,4,8,.500,2,2,1.000,0,4,4,1,1,0,1,1,16,10.4,+24,redicjj01
